id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
0;The Dark Knight;185000000;1004558444;2008;8.4;54.602;Christopher Nolan;Charles Roven, Christopher Nolan, Emma Thomas, Lorne Orleans
1;Se7en;33000000;327311859;1995;8.3;50.812;David Fincher;Arnold Kopelson, Phyllis Carlyle
2;Bandits;75000000;67631903;2001;6.2;46.95;Barry Levinson;Barry Levinson, Paula Weinstein, Arnold Rifkin, Ashok Amritraj, Michael Birnbaum, Michele Berk, David Hoberman
3;The Shawshank Redemption;25000000;28341469;1994;8.7;46.524;Frank Darabont;Niki Marvin
4;Juice;5000000;20146880;1992;7.0;44.969;Ernest R. Dickerson;
5;Batman Begins;150000000;374218673;2005;7.7;42.067;Christopher Nolan;Larry J. Franco, Charles Roven, Emma Thomas, Lorne Orleans
6;Léon: The Professional;16000000;45284974;1994;8.3;40.799;Luc Besson;Patrice Ledoux
7;GoodFellas;25000000;46836394;1990;8.4;40.038;Martin Scorsese;Irwin Winkler
8;Pulp Fiction;8000000;214179088;1994;8.5;38.124;Quentin Tarantino;Lawrence Bender
9;Kill Bill: Vol. 1;30000000;180899045;2003;8.0;31.58;Quentin Tarantino;Lawrence Bender, Katsuji Morishita
10;Reservoir Dogs;1200000;2859750;1992;8.2;31.574;Quentin Tarantino;Lawrence Bender
11;The Departed;90000000;289847354;2006;8.1;27.604;Martin Scorsese;Brad Pitt, Brad Grey, Graham King
12;Inside Man;45000000;185798265;2006;7.4;27.587;Spike Lee;Brian Grazer
13;The Mask;23000000;351583407;1994;6.9;27.134;Chuck Russell;Robert Engelman
14;The Green Mile;60000000;286801374;1999;8.5;25.756;Frank Darabont;David Valdes, Frank Darabont
15;Big Momma's House;30000000;173959438;2000;5.7;24.787;Raja Gosnell;David T. Friendly, Michael Green
16;Big Momma's House 2;40000000;138259062;2006;5.7;24.683;John Whitesell;David T. Friendly, Michael Green
17;The Girl with the Dragon Tattoo;13000000;109421911;2009;7.5;24.445;Niels Arden Oplev;Søren Stærmose
18;The Fugitive;44000000;368875760;1993;7.4;24.185;Andrew Davis;Arnold Kopelson
19;Quantum of Solace;200000000;589580482;2008;6.3;23.786;Marc Forster;Barbara Broccoli, Michael G. Wilson
20;Kill Bill: Vol. 2;30000000;152159461;2004;7.9;23.538;Quentin Tarantino;Lawrence Bender
21;From Dusk Till Dawn;19000000;25836616;1996;7.0;23.463;Robert Rodriguez;Gianni Nunnari, Meir Teper
22;The Usual Suspects;6000000;23341568;1995;8.2;23.202;Bryan Singer;Bryan Singer, Michael McDonnell
23;Ocean's Eleven;85000000;450717150;2001;7.4;23.025;Steven Soderbergh;Jerry Weintraub
24;The Big Lebowski;15000000;46189568;1998;7.9;22.989;Joel Coen, Ethan Coen;Ethan Coen
25;Transporter 2;32000000;85167639;2005;6.3;22.928;Louis Leterrier;Luc Besson, Steve Chasman
26;Heat;60000000;187436818;1995;7.9;22.787;Michael Mann;Michael Mann, Art Linson
27;Trainspotting;4000000;16491080;1996;8.0;22.709;Danny Boyle;Andrew Macdonald
28;Bad Boys;19000000;141407024;1995;6.7;22.704;Michael Bay;Jerry Bruckheimer, Don Simpson
29;Snatch;10000000;83557872;2000;7.8;22.433;Guy Ritchie;Matthew Vaughn
30;The Godfather: Part III;54000000;136766062;1990;7.4;22.306;Francis Ford Coppola;Francis Ford Coppola, Gray Frederickson, Fred Roos, Fred Fuchs, Nicholas Gage, Marina Gefter, Charles Mulvehill
31;Gone in Sixty Seconds;90000000;237202299;2000;6.3;22.286;Dominic Sena;Jerry Bruckheimer, Mike Stenson
